Country gini secpay gdp hetero democrat
Mexico 53.7 1.211 7704 86.7 0
Hungary 28.9 1.115 10232 97.3 0
Brazil 60.1 1.232 6625 82.7 0
Nigeria 45 1.196 739 68.3 0
Chile 56.5 1.361 8787 96.7 0
Belarus 28.8 1.075 6319 92.3 0
CzechRepublic 26.6 1.557 12362 97.7 0
Slovenia 29.2 1.108 14293 97 0
Bulgaria 30.8 1.164 4809 91 0
Romania 28.2 1.133 5648 91.7 0
China 41.5 1.131 3105 95.7 0
Taiwan 27.7 1.075 12090 94.7 0
Turkey 41.5 1.207 6422 85 0
Lithuania 33.6 1.096 6436 89.3 0
Latvia 28.5 1.07 5728 70 0
Estonia 35.4 1.054 7682 74 0
Ukraine 47.3 1.085 3194 91 0
Russia 48 1.076 6460 89.3 0
Uruguay 42.3 1.273 8623 98.7 0
Moldova 34.4 1.127 1947 87.7 0
Georgia 37.1 1.086 3353 86.7 0
Armenia 44.4 1.061 2072 96 0
Azerbaijan 36 1.07 2175 89.3 0
Bangladesh 28.3 1.057 1361 93.7 0
Croatia 29 1.092 6749 85 0
Slovakia 19.5 1.622 9699 94 0
